address,ALD,NSP,POLICE,TRACT,WARD,ZIP,Arson,Assault,Burglary,CriminalDamage,Homicide,Robbery,SexOffense,Theft,VehicleTheft
8224 W EUCLID AV,11.0,,6.0,19600.0,260.0,53219.0,0,1,0,0,0,0,0,0,0
465 E BROWN ST,6.0,6.0,5.0,10600.0,173.0,53212.0,0,0,0,0,0,0,0,0,1
3112 W STATE ST,4.0,14.0,3.0,13600.0,195.0,53208.0,0,0,0,1,0,0,0,0,0
2436 N 1ST ST,6.0,6.0,5.0,185600.0,137.0,53212.0,0,0,0,0,0,0,0,0,0
6237 S 13TH ST,13.0,,6.0,21700.0,313.0,53221.0,0,0,0,1,0,0,0,0,0
6552 W LAKEFIELD DR,11.0,,6.0,19800.0,258.0,53219.0,0,0,0,1,0,0,0,0,0
7819 W HADLEY ST,5.0,,7.0,5700.0,85.0,53222.0,0,0,0,1,0,0,0,0,0
1721 W CANAL ST,8.0,,3.0,186800.0,222.0,53204.0,0,0,0,0,0,0,0,1,0
2540 N 1ST ST,6.0,6.0,5.0,185700.0,137.0,53212.0,0,1,0,0,0,0,0,0,0
4921 N 19TH PL,1.0,3.0,7.0,2300.0,54.0,53209.0,0,0,1,0,0,0,0,0,0
2715 S 28TH ST,8.0,,2.0,18900.0,248.0,53215.0,0,0,1,0,0,0,0,0,0
2504 N 22ND ST,15.0,9.0,3.0,8700.0,145.0,53206.0,0,0,0,0,0,0,0,0,1
2222 E BELLEVIEW PL,3.0,,1.0,7600.0,130.0,53211.0,0,0,0,1,0,0,0,0,0
4110 N 16TH ST,1.0,4.0,5.0,4300.0,56.0,53209.0,0,0,0,0,0,0,0,0,0
4108 W CAPITOL DR,7.0,1.0,7.0,4100.0,62.0,53216.0,0,1,0,0,0,0,0,0,0
2647 N STOWELL AV,3.0,,1.0,7500.0,125.0,53211.0,0,0,0,0,0,0,0,1,0
7451 W GLENBROOK RD,9.0,,4.0,101.0,4.0,53223.0,0,1,0,0,0,0,0,0,0
1916 N VEL R PHILLIPS AV,6.0,6.0,5.0,186000.0,171.0,53212.0,0,0,0,0,0,0,0,0,1
1130 N 29TH ST,4.0,14.0,3.0,13600.0,334.0,53208.0,0,1,0,0,0,0,0,0,0
2326 N FARWELL AV,3.0,,1.0,7700.0,131.0,53211.0,0,0,0,0,0,0,0,1,0
6325 N 76TH ST,2.0,2.0,4.0,1400.0,318.0,53218.0,0,0,0,0,0,1,0,0,0
7609 W CAPITOL DR,5.0,,7.0,3400.0,72.0,53222.0,0,0,0,0,0,1,0,0,0
679 E CHICAGO ST,4.0,,1.0,187400.0,156.0,53202.0,0,1,0,0,0,0,0,0,0
1634 N MARSHALL ST,3.0,,1.0,11100.0,179.0,53202.0,0,0,0,1,0,0,0,0,0
2740 N MURRAY AV,3.0,,1.0,7800.0,124.0,53211.0,0,0,0,1,0,0,0,0,0
2750 N 91ST ST,5.0,,7.0,5600.0,83.0,53222.0,0,0,0,0,0,0,0,0,0
1934 S 32ND ST,8.0,15.0,2.0,17100.0,213.0,53215.0,0,0,0,0,0,0,0,0,1
6423 W CARMEN AV,2.0,2.0,4.0,1300.0,25.0,53218.0,0,1,0,1,0,0,0,0,0
5008 N 22ND ST,1.0,3.0,7.0,2300.0,53.0,53209.0,0,1,0,0,0,0,0,0,0
6501 W BOBOLINK AV,2.0,2.0,4.0,1300.0,26.0,53218.0,0,1,0,0,0,0,0,0,0
410 E SHIP ST,6.0,,5.0,11400.0,173.0,53212.0,0,0,0,1,0,0,0,0,0
9220 N 75TH ST,9.0,,4.0,101.0,4.0,53223.0,0,1,0,0,0,0,0,0,0
1721 W CANAL ST,8.0,,3.0,186800.0,222.0,53204.0,0,0,0,0,0,0,0,1,0
2826 W ATKINSON AV,1.0,4.0,5.0,4200.0,60.0,53209.0,0,1,0,0,0,0,0,0,0
1538 N MARSHALL ST,4.0,,1.0,11100.0,162.0,53202.0,0,0,0,0,0,0,0,1,0
4124 W VILLARD AV,1.0,2.0,4.0,2000.0,47.0,53209.0,0,0,0,0,0,0,0,1,0
3407 N 39TH ST,7.0,5.0,7.0,4800.0,99.0,53216.0,0,0,0,0,0,0,0,1,0
4357 S 20TH ST,13.0,,6.0,21400.0,295.0,53221.0,0,0,0,0,0,0,0,1,0
1117 E HAMILTON ST,3.0,,1.0,11200.0,174.0,53202.0,0,0,0,0,0,1,0,0,0
1512 N JEFFERSON ST,4.0,,1.0,11300.0,162.0,53202.0,0,0,0,0,0,0,0,0,0
2825 N HOLTON ST,6.0,6.0,5.0,8100.0,136.0,53212.0,0,1,0,0,0,0,0,0,0
8554 W GRANTOSA DR,5.0,,7.0,3300.0,75.0,53225.0,0,0,0,1,0,0,0,0,0
825 E PEARSON ST,3.0,,1.0,11200.0,174.0,53202.0,0,0,0,0,0,0,0,0,0
1134 S 1ST ST,12.0,16.0,2.0,186500.0,223.0,53204.0,0,0,0,1,0,0,0,0,0
1635 N 28TH ST,15.0,11.0,3.0,9700.0,166.0,53208.0,0,0,0,0,0,0,0,1,0
1912 S AMY PL,12.0,15.0,2.0,16900.0,225.0,53204.0,0,0,0,0,0,0,0,0,0
3306 S PENNSYLVANIA AV,14.0,,6.0,20800.0,288.0,53207.0,0,0,0,0,0,0,0,1,0
5430 N 57TH ST,2.0,2.0,4.0,1900.0,44.0,53218.0,0,1,0,0,0,0,0,0,0
6148 N 39TH ST,1.0,2.0,4.0,1100.0,21.0,53209.0,0,1,0,0,0,0,0,0,0
8128 W MEDFORD AV,2.0,,4.0,1600.0,37.0,53218.0,0,0,0,0,0,0,0,0,1
1602 N 10TH ST,6.0,13.0,5.0,186000.0,172.0,53205.0,0,1,0,0,0,0,0,0,0
2416 W STATE ST,4.0,12.0,3.0,13700.0,191.0,53233.0,0,0,0,1,0,0,0,0,0
5230 N SHERMAN BL,1.0,2.0,4.0,2000.0,47.0,53209.0,0,0,0,0,0,0,0,0,1
4238 N 47TH ST,7.0,1.0,7.0,4000.0,66.0,53216.0,0,1,0,0,0,0,0,0,0
904 E PEARSON ST,3.0,,1.0,11200.0,174.0,53202.0,0,0,0,1,0,0,0,0,0
2919 W AUER AV,7.0,4.0,5.0,6300.0,103.0,53216.0,0,1,0,0,0,0,0,0,0
1338 W ATKINSON AV,6.0,4.0,5.0,4600.0,111.0,53206.0,0,1,0,0,0,0,0,0,0
1320 N 21ST ST,15.0,12.0,3.0,186100.0,189.0,53205.0,0,1,0,0,0,0,0,0,0
4033 N 39TH ST,7.0,1.0,7.0,4100.0,62.0,53216.0,0,1,0,0,0,0,0,0,0
1715 N 37TH ST,15.0,11.0,3.0,9600.0,165.0,53208.0,0,1,0,0,0,0,0,0,0
7600 W CAPITOL DR,5.0,,7.0,3400.0,72.0,53222.0,0,0,0,0,0,0,0,0,1
7035  N PORT WASHINGTON ROAD,,,,,,,0,1,0,0,0,0,0,0,0
2200 W KILBOURN AV,4.0,14.0,3.0,14800.0,190.0,53233.0,0,0,0,0,0,0,0,0,1
3809 N 75TH ST,10.0,,7.0,5100.0,88.0,53216.0,0,1,0,0,0,0,0,0,0
2919 W MT VERNON AV,10.0,14.0,3.0,13400.0,193.0,53208.0,0,0,0,0,0,0,0,0,1
5251 n 105th st,,,,,,,0,1,0,0,0,0,0,0,0
3867 N 18TH ST,6.0,4.0,5.0,4600.0,110.0,53206.0,0,1,0,0,0,0,0,0,0
958 W OKLAHOMA AV,14.0,,6.0,20500.0,279.0,53215.0,0,1,0,0,0,0,0,0,0
600 W GREENFIELD AV,12.0,16.0,2.0,16500.0,231.0,53204.0,0,0,0,0,0,0,0,0,1
618 E KILBOURN AV,4.0,,1.0,14400.0,158.0,53202.0,0,0,0,1,0,0,0,0,0
2625 W NATIONAL AV,8.0,15.0,2.0,15900.0,222.0,53204.0,0,0,0,0,0,0,0,0,0
3640 N 24TH PL,6.0,4.0,5.0,4700.0,104.0,53206.0,0,0,0,0,1,0,0,0,0
5950 N 42ND ST,1.0,2.0,4.0,1100.0,22.0,53209.0,0,0,0,0,0,0,0,0,1
2556 S 29TH ST 3,,,,,,,0,0,0,0,0,0,0,0,1
1756 N ARLINGTON PL,3.0,,1.0,11200.0,174.0,53202.0,0,0,0,0,0,0,0,1,0
2330 W MAPLE ST,8.0,15.0,2.0,17000.0,217.0,53204.0,0,1,0,0,0,0,0,0,0
2732 N 28TH ST,15.0,9.0,5.0,8800.0,147.0,53210.0,0,0,0,0,1,0,0,0,0
3132 N DOWNER AV,3.0,,1.0,7400.0,126.0,53211.0,0,0,1,0,0,0,0,0,0
2933 S HERMAN ST,14.0,,6.0,18300.0,240.0,53207.0,0,0,1,0,0,0,0,0,0
4734 N 70TH ST,2.0,,7.0,3200.0,70.0,53218.0,0,0,0,0,0,0,0,1,0
2942 N HOLTON ST,6.0,,5.0,7100.0,331.0,53212.0,0,1,0,0,0,0,0,0,0
3901 N HUMBOLDT BL,6.0,7.0,5.0,4400.0,120.0,53212.0,0,1,0,0,0,0,0,0,0
2639 N PROSPECT AV,3.0,,1.0,7500.0,125.0,53211.0,0,0,0,0,0,0,0,1,0
6300 N 84TH ST,2.0,2.0,4.0,1400.0,28.0,53225.0,0,0,0,0,0,0,0,1,0
1010 W PIERCE ST,12.0,16.0,2.0,186800.0,229.0,53204.0,0,1,0,0,0,0,0,0,0
4208 W VILLARD AV,1.0,2.0,4.0,2000.0,47.0,53209.0,0,1,0,0,0,0,0,0,0
6891 N 60TH ST,9.0,,4.0,600.0,13.0,53223.0,0,1,0,0,0,0,0,0,0
1320 S 1ST ST,12.0,16.0,2.0,16500.0,223.0,53204.0,0,0,0,0,0,0,0,0,0
4377 N 66TH ST,2.0,,7.0,3100.0,69.0,53218.0,0,0,1,0,0,0,0,0,0
3409 N BOOTH ST,6.0,,5.0,7200.0,119.0,53212.0,0,0,0,0,0,0,0,0,0
10295 W FOND DU LAC AV,5.0,19.0,4.0,302.0,315.0,53224.0,0,1,0,0,0,0,0,0,0
1809 N 57TH ST,10.0,,3.0,9400.0,164.0,53208.0,0,0,0,0,0,0,0,0,0
1308 N MILWAUKEE ST,4.0,,1.0,11300.0,180.0,53202.0,0,0,0,1,0,0,0,0,0
2640 N 10TH ST,15.0,10.0,3.0,8400.0,139.0,53206.0,0,0,0,0,0,0,0,1,0
1407 N MARTIN L KING JR DR,6.0,,1.0,11400.0,172.0,53212.0,0,0,0,1,0,0,0,0,0
2012 S 12TH ST,12.0,16.0,2.0,16800.0,233.0,53204.0,0,1,0,1,0,0,0,0,0
725 W LAPHAM BL,12.0,16.0,2.0,16500.0,232.0,53204.0,0,0,0,0,0,0,0,0,1
3525 N 83RD ST,5.0,,7.0,5200.0,86.0,53222.0,0,1,0,0,0,0,0,0,0
1525 S 22ND ST,8.0,15.0,2.0,16300.0,220.0,53204.0,0,1,0,0,0,0,0,0,0
4455 S 20TH ST,13.0,,6.0,21400.0,295.0,53221.0,0,0,1,0,0,0,0,0,0
2466 N 45TH ST,15.0,5.0,3.0,9100.0,154.0,53210.0,0,0,0,0,0,0,0,0,1
1523 S UNION ST,12.0,15.0,2.0,16300.0,224.0,53204.0,0,0,0,0,0,0,0,1,0
1600 N HUMBOLDT AV,3.0,,1.0,11000.0,179.0,53202.0,0,0,0,0,0,0,0,0,1
2112 N 60TH ST,10.0,11.0,3.0,9300.0,163.0,53208.0,0,0,0,0,0,0,0,1,0
6929 W SILVER SPRING DR,2.0,2.0,4.0,1800.0,42.0,53218.0,0,0,0,1,0,0,0,0,0
6665 N 60TH ST,9.0,,4.0,600.0,13.0,53223.0,0,0,0,0,0,0,0,1,0
3426 S 82ND ST,11.0,,6.0,19600.0,260.0,53219.0,0,0,0,0,0,0,0,0,1
1656 N MAYFLOWER CT,6.0,13.0,5.0,186000.0,172.0,53205.0,0,1,0,0,0,0,0,0,0
9575 W ALLYN ST,9.0,18.0,4.0,201.0,1.0,53224.0,0,1,0,0,0,0,0,0,0
3052 N 30TH ST,7.0,4.0,5.0,6300.0,102.0,53210.0,0,0,0,0,0,0,0,0,1
4135 N 20TH ST,1.0,4.0,5.0,4300.0,57.0,53209.0,0,0,0,0,0,0,0,0,1
720 S 9TH ST,12.0,16.0,2.0,186500.0,229.0,53204.0,0,0,0,1,0,0,0,0,0
2613 W MICHIGAN ST,4.0,14.0,3.0,14900.0,192.0,53233.0,0,1,0,0,0,0,0,0,0
2950 S CHASE AV,14.0,,6.0,18400.0,347.0,53207.0,0,0,0,0,0,0,0,1,0
2128 N 34TH ST,15.0,11.0,3.0,9800.0,146.0,53208.0,0,0,0,0,0,0,0,1,0
8500 W FOND DU LAC AV,2.0,2.0,4.0,1500.0,30.0,53225.0,0,1,0,0,0,0,0,0,0
3355 S 27TH ST,11.0,,6.0,20000.0,311.0,53215.0,0,1,0,0,0,0,0,0,0
1300 N JACKSON ST,4.0,,1.0,11300.0,180.0,53202.0,0,0,0,0,0,0,0,0,1
709 E CAPITOL DR,6.0,7.0,5.0,4400.0,120.0,53212.0,0,0,0,0,0,0,0,0,1
6322 N 80TH ST,2.0,2.0,4.0,1400.0,318.0,53218.0,0,0,0,1,0,0,0,0,0
1511 N WATER ST,6.0,,1.0,11400.0,172.0,53202.0,0,0,0,0,0,1,0,0,0
